Nombre;Codigo;descripcion;Stock;StockMinimo;PrecioUnitario;Observaciones;Rentabilidad;Iva;CostoInterno;CodigoProveedor;Deposito;CodigoBarra;Rubro;SubRubro;Tipo;PrecioAutomatico
Remeron de Mujer Celeste Talle 4;5982CE4;Remeron de Mujer Celeste Talle 4;;;2499;;;21;1240;In;Maga;;Pijamas;Mariana K;;
Remeron de Mujer Celeste Talle 5;5982CE5;Remeron de Mujer Celeste Talle 5;;;2499;;;21;1360;In;Maga;;Pijamas;Mariana K;;
Remeron de Mujer Celeste Talle 6;5982CE6;Remeron de Mujer Celeste Talle 6;;;2499;;;21;1360;In;Maga;;Pijamas;Mariana K;;
;;;;;;;;;;;;;;;;
Pijama de Nena de Lunares Rosa Talle 4;5929R4;Pijama de Nena de Lunares Rosa Talle 4;;;2199;;;21;1000;In;Maga;;Pijamas;Mariana K;;
Pijama de Nena de Lunares Rosa Talle 6;5929R6;Pijama de Nena de Lunares Rosa Talle 6;;;2199;;;21;1000;In;Maga;;Pijamas;Mariana K;;
Pijama de Nena de Lunares Rosa Talle 8;5929R8;Pijama de Nena de Lunares Rosa Talle 8;;;2199;;;21;1080;In;Maga;;Pijamas;Mariana K;;
Pijama de Nena de Lunares Rosa Talle 10;5929R10;Pijama de Nena de Lunares Rosa Talle 10;;;2199;;;21;1080;In;Maga;;Pijamas;Mariana K;;
Pijama de Nena de Lunares Rosa Talle 12;5929R12;Pijama de Nena de Lunares Rosa Talle 12;;;2199;;;21;1160;In;Maga;;Pijamas;Mariana K;;
Pijama de Nena de Lunares Rosa Talle 14;5929R14;Pijama de Nena de Lunares Rosa Talle 14;;;2199;;;21;1160;In;Maga;;Pijamas;Mariana K;;
Pijama de Nena de Lunares Negro Talle 4;5929N4;Pijama de Nena de Lunares Negro Talle 4;;;2199;;;21;1000;In;Maga;;Pijamas;Mariana K;;
Pijama de Nena de Lunares Negro Talle 6;5929N6;Pijama de Nena de Lunares Negro Talle 6;;;2199;;;21;1000;In;Maga;;Pijamas;Mariana K;;
Pijama de Nena de Lunares Negro Talle 8;5929N8;Pijama de Nena de Lunares Negro Talle 8;;;2199;;;21;1080;In;Maga;;Pijamas;Mariana K;;
Pijama de Nena de Lunares Negro Talle 10;5929N10;Pijama de Nena de Lunares Negro Talle 10;;;2199;;;21;1080;In;Maga;;Pijamas;Mariana K;;
Pijama de Nena de Lunares Negro Talle 12;5929N12;Pijama de Nena de Lunares Negro Talle 12;;;2199;;;21;1160;In;Maga;;Pijamas;Mariana K;;
Pijama de Nena de Lunares Negro Talle 14;5929N14;Pijama de Nena de Lunares Negro Talle 14;;;2199;;;21;1160;In;Maga;;Pijamas;Mariana K;;
;;;;;;;;;;;;;;;;
Pijama de Nene Tiburón Rojo Talle 4;5988R4;Pijama de Nene Tiburón Rojo Talle 4;;;2399;;;21;1120;In;Maga;;Pijamas;Mariana K;;
Pijama de Nene Tiburón Rojo Talle 6;5988R6;Pijama de Nene Tiburón Rojo Talle 6;;;2399;;;21;1120;In;Maga;;Pijamas;Mariana K;;
Pijama de Nene Tiburón Rojo Talle 8;5988R8;Pijama de Nene Tiburón Rojo Talle 8;;;2399;;;21;1200;In;Maga;;Pijamas;Mariana K;;
Pijama de Nene Tiburón Rojo Talle 10;5988R10;Pijama de Nene Tiburón Rojo Talle 10;;;2399;;;21;1200;In;Maga;;Pijamas;Mariana K;;
Pijama de Nene Tiburón Rojo Talle 12;5988R12;Pijama de Nene Tiburón Rojo Talle 12;;;2399;;;21;1280;In;Maga;;Pijamas;Mariana K;;
Pijama de Nene Tiburón Rojo Talle 14;5988R14;Pijama de Nene Tiburón Rojo Talle 14;;;2399;;;21;1280;In;Maga;;Pijamas;Mariana K;;
Pijama de Nene Tiburón Azul Talle 4;5988A4;Pijama de Nene Tiburón Azul Talle 4;;;2399;;;21;1120;In;Maga;;Pijamas;Mariana K;;
Pijama de Nene Tiburón Azul Talle 6;5988A6;Pijama de Nene Tiburón Azul Talle 6;;;2399;;;21;1120;In;Maga;;Pijamas;Mariana K;;
Pijama de Nene Tiburón Azul Talle 8;5988A8;Pijama de Nene Tiburón Azul Talle 8;;;2399;;;21;1200;In;Maga;;Pijamas;Mariana K;;
Pijama de Nene Tiburón Azul Talle 10;5988A10;Pijama de Nene Tiburón Azul Talle 10;;;2399;;;21;1200;In;Maga;;Pijamas;Mariana K;;
Pijama de Nene Tiburón Azul Talle 12;5988A12;Pijama de Nene Tiburón Azul Talle 12;;;2399;;;21;1280;In;Maga;;Pijamas;Mariana K;;
Pijama de Nene Tiburón Azul Talle 14;5988A14;Pijama de Nene Tiburón Azul Talle 14;;;2399;;;21;1280;In;Maga;;Pijamas;Mariana K;;
