Nombre;Codigo;descripcion;Stock;StockMinimo;PrecioUnitario;Observaciones;Rentabilidad;Iva;CostoInterno;CodigoProveedor;Deposito;CodigoBarra;Rubro;SubRubro;Tipo;PrecioAutomatico
SUECO DE GOMA SEAWALK FUCSIA CON BANDA TALLE 33-34;280FUCSIAT3334;SUECO DE GOMA SEAWALK FUCSIA CON BANDA TALLE 33-34;4;;4199;;;21;2200,2;;Principal;;Calzado;Seawalk;;
SUECO DE GOMA SEAWALK GRIS CON BANDA TALLE 27-28;280GRIST2728;SUECO DE GOMA SEAWALK GRIS CON BANDA TALLE 27-28;4;;4199;;;21;2200,2;;Principal;;Calzado;Seawalk;;
SUECO DE GOMA SEAWALK GRIS CON BANDA TALLE 33-34;280GRIST3334;SUECO DE GOMA SEAWALK GRIS CON BANDA TALLE 33-34;4;;4199;;;21;2200,2;;Principal;;Calzado;Seawalk;;
BIKINI FUNCIDA CON LESS FUCSIA TALLE 85;2F85;BIKINI FUNCIDA CON LESS FUCSIA TALLE 85;2;;2299;;;21;991,74;;Principal;;Mallas;;;
BIKINI FUNCIDA CON LESS NEGRO TALLE 85;2N85;BIKINI FUNCIDA CON LESS NEGRO TALLE 85;5;;2299;;;21;991,74;;Principal;;Mallas;;;
BIKINI FUNCIDA CON LESS NEGRO TALLE 90;2N90;BIKINI FUNCIDA CON LESS NEGRO TALLE 90;2;;2299;;;21;991,74;;Principal;;Mallas;;;
SUECO DE GOMA SEAWALK AZUL NAVY TALLE 41-42;300NAVYT4142;SUECO DE GOMA SEAWALK AZUL NAVY TALLE 41-42;7;;3599;;;21;1877,2;;Principal;;Calzado;Seawalk;;
SUECO DE GOMA SEAWALK AZUL NAVY TALLE 43-44;300NAVYT4344;SUECO DE GOMA SEAWALK AZUL NAVY TALLE 43-44;6;;3599;;;21;1877,2;;Principal;;Calzado;Seawalk;;
CALZA LISA INFANTIL ELEMENTO CORAL TALLE 10;301C10;CALZA LISA INFANTIL ELEMENTO CORAL TALLE 10;3;;2850;;;21;1412,94;;Principal;;Deportivo;Elemento Ropa;;
CALZA LISA INFANTIL ELEMENTO CORAL TALLE 12;301C12;CALZA LISA INFANTIL ELEMENTO CORAL TALLE 12;2;;2850;;;21;1412,94;;Principal;;Deportivo;Elemento Ropa;;
CALZA LISA INFANTIL ELEMENTO CORAL TALLE 16;301C16;CALZA LISA INFANTIL ELEMENTO CORAL TALLE 16;4;;2850;;;21;1412,94;;Principal;;Deportivo;Elemento Ropa;;
CALZA LISA INFANTIL ELEMENTO CORAL TALLE 4;301C4;CALZA LISA INFANTIL ELEMENTO CORAL TALLE 4;3;;2850;;;21;1412,94;;Principal;;Deportivo;Elemento Ropa;;
CALZA LISA INFANTIL ELEMENTO GRIS TALLE 14;301G14;CALZA LISA INFANTIL ELEMENTO GRIS TALLE 14;2;;2850;;;21;1412,94;;Principal;;Deportivo;Elemento Ropa;;
CALZA LISA INFANTIL AZUL MARINO ELEMENTO TALLE 14;301M14;CALZA LISA INFANTIL AZUL MARINO ELEMENTO TALLE 14;3;;2850;;;21;1412,94;;Principal;;Deportivo;Elemento Ropa;;
CALZA LISA INFANTIL AZUL MARINO ELEMENTO TALLE 16;301M16;CALZA LISA INFANTIL AZUL MARINO ELEMENTO TALLE 16;3;;2850;;;21;1412,94;;Principal;;Deportivo;Elemento Ropa;;
CALZA LISA INFANTIL AZUL MARINO ELEMENTO TALLE 4;301M4;CALZA LISA INFANTIL AZUL MARINO ELEMENTO TALLE 4;4;;2850;;;21;1412,94;;Principal;;Deportivo;Elemento Ropa;;
CALZA LISA INFANTIL AZUL MARINO ELEMENTO TALLE 6;301M6;CALZA LISA INFANTIL AZUL MARINO ELEMENTO TALLE 6;4;;2850;;;21;1412,94;;Principal;;Deportivo;Elemento Ropa;;
CALZA LISA INFANTIL AZUL MARINO ELEMENTO TALLE 8;301M8;CALZA LISA INFANTIL AZUL MARINO ELEMENTO TALLE 8;3;;2850;;;21;1412,94;;Principal;;Deportivo;Elemento Ropa;;
CALZA LISA INFANTIL ELEMENTO NEGRO TALLE 10;301N10;CALZA LISA INFANTIL ELEMENTO NEGRO TALLE 10;3;;2850;;;21;1412,94;;Principal;;Deportivo;Elemento Ropa;;
CALZA LISA INFANTIL ELEMENTO NEGRO TALLE 12;301N12;CALZA LISA INFANTIL ELEMENTO NEGRO TALLE 12;3;;2850;;;21;1412,94;;Principal;;Deportivo;Elemento Ropa;;
CALZA LISA INFANTIL ELEMENTO NEGRO TALLE 14;301N14;CALZA LISA INFANTIL ELEMENTO NEGRO TALLE 14;3;;2850;;;21;1412,94;;Principal;;Deportivo;Elemento Ropa;;
CALZA LISA INFANTIL ELEMENTO NEGRO TALLE 16;301N16;CALZA LISA INFANTIL ELEMENTO NEGRO TALLE 16;4;;2850;;;21;1412,94;;Principal;;Deportivo;Elemento Ropa;;
CALZA LISA INFANTIL ELEMENTO NEGRO TALLE 2;301N2;CALZA LISA INFANTIL ELEMENTO NEGRO TALLE 2;6;;2850;;;21;1412,94;;Principal;;Deportivo;Elemento Ropa;;
CALZA LISA INFANTIL ELEMENTO NEGRO TALLE 4;301N4;CALZA LISA INFANTIL ELEMENTO NEGRO TALLE 4;6;;2850;;;21;1412,94;;Principal;;Deportivo;Elemento Ropa;;
CALZA LISA INFANTIL ELEMENTO NEGRO TALLE 6;301N6;CALZA LISA INFANTIL ELEMENTO NEGRO TALLE 6;3;;2850;;;21;1412,94;;Principal;;Deportivo;Elemento Ropa;;
CALZA LISA INFANTIL ELEMENTO NEGRO TALLE 8;301N8;CALZA LISA INFANTIL ELEMENTO NEGRO TALLE 8;3;;2850;;;21;1412,94;;Principal;;Deportivo;Elemento Ropa;;
CALZA LISA INFANTIL ELEMENTO ROSA CHICLE TALLE 12;301R12;CALZA LISA INFANTIL ELEMENTO ROSA CHICLE TALLE 12;2;;2850;;;21;1412,94;;Principal;;Deportivo;Elemento Ropa;;
CALZA FRIZADA INFANTIL AZUL FRANCIA ELEMENTO TALLE 10;302AF10;CALZA FRIZADA INFANTIL AZUL FRANCIA ELEMENTO TALLE 10;4;;4250;;;21;2166,25;;Principal;;Deportivo;Elemento Ropa;;
CALZA FRIZADA INFANTIL AZUL FRANCIA ELEMENTO TALLE 14;302AF14;CALZA FRIZADA INFANTIL AZUL FRANCIA ELEMENTO TALLE 14;5;;4250;;;21;2166,25;;Principal;;Deportivo;Elemento Ropa;;
CALZA FRIZADA INFANTIL AZUL FRANCIA ELEMENTO TALLE 16;302AF16;CALZA FRIZADA INFANTIL AZUL FRANCIA ELEMENTO TALLE 16;4;;4250;;;21;2166,25;;Principal;;Deportivo;Elemento Ropa;;
CALZA FRIZADA INFANTIL ELEMENTO AZUL MARINO TALLE 10;302AM10;CALZA FRIZADA INFANTIL ELEMENTO AZUL MARINO TALLE 10;5;;4250;;;21;2166,25;;Principal;;Deportivo;Elemento Ropa;;
CALZA FRIZADA INFANTIL ELEMENTO AZUL MARINO TALLE 12;302AM12;CALZA FRIZADA INFANTIL ELEMENTO AZUL MARINO TALLE 12;4;;4250;;;21;2166,25;;Principal;;Deportivo;Elemento Ropa;;
CALZA FRIZADA INFANTIL ELEMENTO AZUL MARINO TALLE 14;302AM14;CALZA FRIZADA INFANTIL ELEMENTO AZUL MARINO TALLE 14;6;;4250;;;21;2166,25;;Principal;;Deportivo;Elemento Ropa;;
CALZA FRIZADA INFANTIL ELEMENTO AZUL MARINO TALLE 16;302AM16;CALZA FRIZADA INFANTIL ELEMENTO AZUL MARINO TALLE 16;4;;4250;;;21;2166,25;;Principal;;Deportivo;Elemento Ropa;;
CALZA FRIZADA INFANTIL ELEMENTO AZUL MARINO TALLE 2;302AM2;CALZA FRIZADA INFANTIL ELEMENTO AZUL MARINO TALLE 2;4;;4250;;;21;2166,25;;Principal;;Deportivo;Elemento Ropa;;
CALZA FRIZADA INFANTIL ELEMENTO AZUL MARINO TALLE 4;302AM4;CALZA FRIZADA INFANTIL ELEMENTO AZUL MARINO TALLE 4;2;;4250;;;21;2166,25;;Principal;;Deportivo;Elemento Ropa;;
CALZA FRIZADA INFANTIL ELEMENTO AZUL MARINO TALLE 6;302AM6;CALZA FRIZADA INFANTIL ELEMENTO AZUL MARINO TALLE 6;5;;4250;;;21;2166,25;;Principal;;Deportivo;Elemento Ropa;;
CALZA FRIZADA INFANTIL ELEMENTO AZUL MARINO TALLE 8;302AM8;CALZA FRIZADA INFANTIL ELEMENTO AZUL MARINO TALLE 8;4;;4250;;;21;2166,25;;Principal;;Deportivo;Elemento Ropa;;
CAMISETA DE MORLEY MANGA LARGA DE DAMA BEIGE TALLE 1;302BE1;CAMISETA DE MORLEY MANGA LARGA DE DAMA BEIGE TALLE 1;13;;1499;;;21;609,6;;Principal;;Remeras y camisetas;Mariana K;;
CALZA FRIZADA INFANTIL ELEMENTO CHICLE TALLE 16;302CH16;CALZA FRIZADA INFANTIL ELEMENTO CHICLE TALLE 16;2;;4250;;;21;2166,25;;Principal;;Deportivo;Elemento Ropa;;
CALZA FRIZADA INFANTIL ELEMENTO CHICLE TALLE 2;302CH2;CALZA FRIZADA INFANTIL ELEMENTO CHICLE TALLE 2;2;;4250;;;21;2166,25;;Principal;;Deportivo;Elemento Ropa;;
CALZA FRIZADA INFANTIL ELEMENTO CHICLE TALLE 4;302CH4;CALZA FRIZADA INFANTIL ELEMENTO CHICLE TALLE 4;4;;4250;;;21;2166,25;;Principal;;Deportivo;Elemento Ropa;;
CALZA FRIZADA INFANTIL ELEMENTO CHICLE TALLE 6;302CH6;CALZA FRIZADA INFANTIL ELEMENTO CHICLE TALLE 6;3;;4250;;;21;2166,25;;Principal;;Deportivo;Elemento Ropa;;
CALZA FRIZADA INFANTIL ELEMENTO GRIS TALLE 12;302G12;CALZA FRIZADA INFANTIL ELEMENTO GRIS TALLE 12;2;;4250;;;21;2166,25;;Principal;;Deportivo;Elemento Ropa;;
CALZA FRIZADA INFANTIL ELEMENTO GRIS TALLE 16;302G16;CALZA FRIZADA INFANTIL ELEMENTO GRIS TALLE 16;5;;4250;;;21;2166,25;;Principal;;Deportivo;Elemento Ropa;;
CALZA FRIZADA INFANTIL ELEMENTO GRIS TALLE 2;302G2;CALZA FRIZADA INFANTIL ELEMENTO GRIS TALLE 2;2;;4250;;;21;2166,25;;Principal;;Deportivo;Elemento Ropa;;
CALZA FRIZADA INFANTIL ELEMENTO GRIS TALLE 4;302G4;CALZA FRIZADA INFANTIL ELEMENTO GRIS TALLE 4;2;;4250;;;21;2166,25;;Principal;;Deportivo;Elemento Ropa;;
